char_name,nu03,nu11,nu12,on_pixel_frac,on_pixel_x_var,on_pixel_y_var,font_name,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5
three,7.57285352545294e-05,-6.998077201646309e-05,0.0007799778961038735,0.052415210688591986,9.947712418300654,6.378316032295271,arialbd,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.00023434996423382195,0.00013661151097817432,0.0006199209776357208,0.05785123966942149,7.392857142857143,5.963966836734694,arialbd,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,8.436953217851055e-05,-6.854000325358969e-05,0.0003822316143586729,0.05894519131334023,8.994152046783626,7.392428439519852,arialbd,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,3.420862008446316e-05,-4.6166001960338214e-05,2.055249517679708e-05,0.07001044932079414,7.769659166852305,8.20405435509022,arialbd,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0006868038313568634,4.106083178556927e-06,-0.00012879158882481847,0.04703476482617587,11.53733459357278,5.102551984877127,arialbd,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,5.0775988326843496e-05,4.10601636286985e-05,-0.0005093195802907222,0.06777893639207508,8.458224852071005,7.615147928994084,arialbd,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-8.18202813222869e-06,2.094588809972001e-05,-0.0007576632734890396,0.06889352818371608,8.219467401285584,8.067952249770432,arialbd,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.000338362814471564,0.00044884150630821346,-0.0001770385306453465,0.009861932938856016,1.21,0.6,arialbd,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-2.847293236831293e-05,0.00013772221580418003,0.001207400763019414,0.05675954592363261,8.100495867768597,8.12694214876033,arialbi,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.00030098399170907364,0.0004455159044540487,0.0010897593762374898,0.04703476482617587,8.420132325141779,3.680529300567108,arialbi,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,7.265184765343765e-05,0.00011187848343138035,0.0012594950531589005,0.05894519131334023,11.846722068328715,6.658048630347799,arialbi,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,6.355244408398908e-05,8.95747470484963e-05,0.0009455783857274575,0.0513347022587269,9.9904,6.409599999999999,arialbi,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-1.1241155647453633e-05,0.00019408793885714775,0.0007843563655032161,0.06224066390041494,6.980833333333334,7.8822222222222225,arialbi,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,8.803744944984477e-05,3.917065586470909e-06,0.0004884751675712987,0.05567010309278351,9.252743484224963,7.108710562414267,arialbi,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,3.0143792969421913e-05,6.78462897678474e-05,0.00018863125380515818,0.06444906444906445,8.118626430801248,8.595473465140477,arialbi,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0007283380703506486,0.00018090711901730952,-2.1055557707396853e-05,0.04703476482617587,10.684310018903593,6.107750472589793,arialbi,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,5.5740328501362415e-05,0.00015993532215481033,-0.0003635285141416705,0.06889352818371608,8.332644628099175,7.511478420569331,arialbi,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-8.586008651860616e-06,9.48581035544575e-05,-0.0005837841154204276,0.06444906444906445,7.927159209157127,7.887877211238293,arialbi,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00029922967106530297,0.00041442953240761735,-0.00016495447912623677,0.008866995073891626,1.2839506172839505,0.8888888888888888,arialbi,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-7.66199613810895e-05,0.00016226912669923342,0.0008600588434119676,0.03959390862944162,9.113740959894809,9.204470742932283,ariali,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.00019946754223974577,0.000294266460898836,0.000600458772002405,0.02708124373119358,8.91358024691358,2.17283950617284,ariali,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,0.00012884939979247227,6.280202191517849e-05,0.0008635577112960474,0.045965270684371805,12.990617283950618,7.814320987654321,ariali,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-2.349996726725039e-06,9.84155250236331e-05,0.0006208329465569258,0.037487335359675786,11.06062819576333,8.074506939371801,ariali,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.00014493010269802634,0.00020493185554423067,0.0005226945212126425,0.04170905391658189,7.265913146936347,6.2867340868530635,ariali,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-7.880548548234524e-06,3.903201745642243e-05,0.0003596497222881761,0.04276985743380855,10.106575963718821,8.276643990929704,ariali,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-3.7625506248032806e-05,6.164036355433888e-05,0.0001858702742668407,0.045965270684371805,8.551111111111108,8.48098765432099,ariali,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0006694502173247485,0.0001792752355081078,3.185486226754817e-06,0.037487335359675786,11.00073046018992,6.505478451424398,ariali,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-6.769131069141941e-05,5.773531380082801e-05,-0.0002518877111063403,0.04703476482617587,9.219754253308125,8.289224952741021,ariali,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-1.5087850767281578e-05,4.600974083923435e-05,-0.0004037548475705626,0.044897959183673466,8.702479338842975,8.704028925619836,ariali,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00019606243590061313,0.000278559407682446,-0.00011442681074066757,0.005893909626719057,1.1388888888888888,0.5555555555555556,ariali,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-0.0003291859956776222,0.00035359587990391243,0.0020413760427576712,0.08589607635206786,9.182746532540774,10.545953360768175,ariblk,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.000564167141242495,0.000589028912345597,0.0018493488815912256,0.07112970711297072,9.009299307958479,5.731833910034602,ariblk,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,-7.339201332037306e-05,0.00013032061070523157,0.0023113695899344548,0.09753483386923902,11.425914744596064,10.136698466368795,ariblk,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.00028822074720832034,0.00025755234610433717,0.0015896250798717287,0.07676130389064142,10.587352223681743,9.327078251079003,ariblk,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.00013302513386942522,0.00016224367055784844,0.0011598130245885367,0.08130939809926083,7.320964749536177,10.612582222971833,ariblk,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-0.00010977862105260296,-6.205793542159767e-06,0.000958125589086896,0.09052183173588925,9.078754325259519,11.124429065743945,ariblk,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-0.0003791410154240686,2.454537426942523e-05,0.00042481696551829477,0.09989258861439312,9.135622615331252,12.182680078621805,ariblk,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0011016828353700538,0.00011879209589267842,1.8420005053725796e-05,0.07225130890052356,10.79689140936778,8.013862633900441,ariblk,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-0.00030249254578400573,-5.566484913457541e-05,-0.000496618966971695,0.09989258861439312,9.117123366863222,10.97329171002428,ariblk,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00048025161364312753,-0.0002316436033451023,-0.0007707257533015315,0.09168443496801706,8.68902109248242,11.01527852893456,ariblk,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.0006614704338015412,0.0007795826860443513,-0.00036895797382439514,0.020937188434695914,1.9909297052154198,1.759637188208617,ariblk,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-0.00011396035775011058,0.0001045637875072779,0.0006254107710109755,0.03538928210313448,7.964081632653059,7.833469387755101,calibri,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,1.4228557377407299e-05,-3.724621125926904e-05,0.000455541151423901,0.02708124373119358,8.69135802469136,2.3950617283950613,calibri,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,-2.178923532169734e-05,4.6859382135763096e-05,0.00045939736175076693,0.02914572864321608,9.407847800237812,4.164090368608799,calibri,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.000125927095285921,6.917167934640494e-05,0.00038333217429131327,0.02708124373119358,8.320987654320987,4.469135802469135,calibri,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.0001344516455902027,6.87919095098755e-05,0.0003316222406542954,0.03643724696356275,5.471450617283951,5.138117283950617,calibri,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-2.5704147552900125e-05,-3.760723660419987e-05,0.000121597376725731,0.03121852970795569,10.688865764828304,5.966701352757544,calibri,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-3.452586736305089e-05,-1.2826225346868919e-05,-1.4024175814380776e-05,0.03643724696356275,6.84182098765432,7.515432098765432,calibri,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0002809465723363339,-1.3461999999999533e-05,-6.0449967315593534e-05,0.024,8.206597222222221,3.9930555555555554,calibri,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-8.219251692660451e-05,-2.2571272670281635e-05,-0.00036974272985558867,0.04383282364933741,7.91130340724716,6.769064359113035,calibri,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00021432461632387107,-0.00017163720813989593,-0.0004844157988780939,0.037487335359675786,6.655953250547845,6.898466033601168,calibri,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
