label,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16
comma,15.937253933193768,0.06274606680622827,1.699229309907877e-16,1.699229309907877e-16,-3.99604278161545e-18,1.8679258403237537e-28,-8.578997484715478e-32,3.635026711752858e-48,-1.7186223983573098e-64,-3.805319127209236e-57,1.0818736473909145e-80,-1.467634744472406e-80,-2.308244654446434e-128,-2.293655389508874e-112,0.0,0.0
zero,14.898917366146847,0.3295844481249808,0.3295844481249808,0.4419137376031881,5.326171148250104e-16,5.326171148250104e-16,-1.5267444028154915e-16,-4.486311770714525e-17,-4.486311770714525e-17,-7.483092461381966e-17,-7.483092461381966e-17,4.25988505179983e-17,5.907495612526612e-18,-7.999167066324137e-33,0.0,0.0
one,15.22020804745042,0.5334739127670965,0.24631803978247768,1.9325262436642526e-16,4.626417236088846e-16,-1.544320801976587e-16,-2.351651884152198e-18,-1.9637720094565028e-31,-1.7193141984205233e-29,1.8303226402742464e-47,1.8303226402742464e-47,0.0,6.884183662382412e-63,-3.326531125006368e-111,-4.4944093005045104e-95,0.0
two,15.04437869879611,-0.599114315384356,0.5547356165882514,-7.005418357844735e-16,-1.7037981504510436e-16,-1.7037981504510436e-16,9.974993642720697e-17,2.0491024251182532e-17,2.0491024251182532e-17,-8.031033262240252e-17,2.5065290507105062e-17,-2.266080821349883e-18,0.0,-4.445468433277389e-34,0.0,0.0
three,15.06637297521078,2.2433156522765213e-06,2.2433156522765213e-06,-4.486631312058725e-06,-0.06637297521077076,-0.9999999999999998,1.1520017710259842e-16,1.1520017710259842e-16,-9.030150338562299e-17,-9.030150338562299e-17,6.541546120120182e-17,6.541546120120182e-17,-1.441562725391841e-17,-1.7105694144590052e-49,-2.311115933264683e-33,0.0
four,15.07307186693892,-1.2064562779941854,0.682663119426349,0.22536064581446374,0.22536064581446374,-4.939522736519647e-16,1.039678934513226e-16,1.039678934513226e-16,8.838535974138279e-17,8.838535974138279e-17,-5.340564821011023e-17,-1.5494227294485188e-34,-9.495567745759799e-66,-1.1403796096393373e-49,0.0,0.0
five,15.18022966062615,-0.7808729014965778,0.670359469920968,-0.034858114525263155,-0.034858114525263155,-2.5023336837479464e-16,4.891190526488026e-16,2.5714977434310526e-16,-5.758222341461234e-17,6.123486336513879e-17,4.291632911975526e-18,2.105263452897726e-32,1.1403796096393352e-48,7.596454196607839e-65,0.0,0.0
six,15.112053964969112,-1.863364164690633,-0.1350067960848727,-0.1350067960848727,0.010661895945631057,0.010661895945631057,-4.858219625281411e-16,5.350159314597714e-16,-1.452725152323363e-16,7.070452839349044e-17,-1.810273372824604e-18,-1.294934441736038e-31,1.4981240451637773e-65,0.0,0.0,0.0
seven,15.412514922196252,1.0109270434913682,-0.8679415249293949,-0.8679415249293949,-0.6875589158288192,3.4430243425990145e-16,3.4430243425990145e-16,-3.548721687047293e-16,-8.111667377099401e-17,2.281859189024632e-18,-2.052919118306471e-17,0.0,0.0,0.0,0.0,0.0
eight,14.97850150406694,-2.0452482139656682,0.5125522747140407,-0.4458055648153076,-1.4773595839959232e-16,-1.4773595839959232e-16,3.186314539193247e-16,3.186314539193247e-16,3.7937654030079734e-16,-3.9169895342707173e-16,-1.4099700809804765e-16,3.188979945176728e-17,-1.3410659741855981e-33,0.0,0.0,0.0
nine,14.975302417391461,-0.41970258940842164,-0.41970258940842164,-0.13589723857461544,-1.4092811382098862e-08,1.409280961876948e-08,1.7669647061665196e-16,1.7669647061665196e-16,1.3456034964773477e-15,-1.0478237939108084e-15,1.4821938801502143e-16,1.4821938801502143e-16,6.077163357286271e-64,-7.411694519987315e-48,0.0,0.0
comma,15.874007874011815,0.12599212598818918,8.524365319776438e-18,8.524365319776438e-18,-1.2885212921378284e-16,-7.184307487778542e-32,6.040196912530396e-31,-4.861730685829017e-63,-1.445578365031905e-47,-1.761249790132911e-64,2.0241020051002605e-79,9.651565399784363e-81,6.636772162495863e-114,6.636772162495863e-114,0.0,0.0
zero,15.159878097036398,0.4200609514818051,0.4200609514818051,-4.221740093632143e-16,1.0315709032642294e-16,1.0315709032642294e-16,-1.7303658298775388e-16,-5.1757257767060554e-17,-1.6801491598985473e-17,-1.6801491598985473e-17,1.6358809381473092e-17,4.266620190811456e-17,6.954415098947074e-17,-3.4211388289180104e-49,-4.622231866529366e-33,0.0
one,15.348469228349531,1.4450051207913343e-16,0.6515307716504658,3.626925555137026e-17,3.626925555137026e-17,8.45514936171523e-17,-8.715437772281765e-17,-4.251881196835699e-17,-2.791665531615076e-17,-1.2809495147407266e-17,1.3760600374509695e-18,3.266727403046535e-17,-4.0641683797885966e-32,-7.596454196607839e-65,-1.0263416486754031e-48,0.0
two,15.071067811865477,-3.1685141452442904e-16,0.9289321881345246,-6.140889294414432e-17,-6.140889294414432e-17,3.9690128707557514e-17,1.3812546697241033e-17,1.6490033541059338e-18,-1.2842667772592639e-17,-1.2842667772592639e-17,-9.120152851254853e-18,0.0,0.0,0.0,0.0,1.734723475976807e-18
three,15.05289941579859,0.5448166903957701,-0.2988580530971753,-0.2988580530971753,-1.0000000000000009,3.332224695690801e-16,-2.4006739228485544e-16,-2.4006739228485544e-16,-2.045084753724825e-19,-2.045084753724825e-19,4.912626826767835e-17,-1.5406734716929565e-17,0.0,-3.8163916471489756e-17,0.0,0.0
four,15.142574040615985,-1.1122660347795437,0.4848459970817841,0.4848459970817841,-5.393325084343083e-16,3.5938823336380977e-16,3.5938823336380977e-16,-9.318600930608869e-17,-9.318600930608869e-17,-7.824939824302287e-17,6.482217398391921e-17,0.0,0.0,7.632783294297951e-17,0.0,0.0
